"filename", "language", "XML", "Ini", "HTML", "UnityShader", "JSON", "C#", "Markdown", "comment", "blank", "total"
"h:\C#\Projects\5e_App\5e_App.slnx", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"h:\C#\Projects\5e_App\Assets\FolderColor\Editor\CustomWindowFileImage.cs", "C#", 0, 0, 0, 0, 0, 55, 0, 0, 14, 69
"h:\C#\Projects\5e_App\Assets\FolderColor\Editor\ProjectAssetViewerCustomisation.cs", "C#", 0, 0, 0, 0, 0, 101, 0, 7, 22, 130
"h:\C#\Projects\5e_App\Assets\FolderColor\SaveSetUp\FolderModificationData.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"h:\C#\Projects\5e_App\Assets\Packages\MessagePack.3.1.4\MessagePack.nuspec", "XML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 56
"h:\C#\Projects\5e_App\Assets\Packages\MessagePack.3.1.4\lib\netstandard2.1\MessagePack.xml", "XML", 5126, 0, 0, 0, 0, 0, 0, 0, 7, 5133
"h:\C#\Projects\5e_App\Assets\Packages\MessagePack.Annotations.3.1.4\MessagePack.Annotations.nuspec", "XML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 19
"h:\C#\Projects\5e_App\Assets\Packages\MessagePack.Annotations.3.1.4\lib\netstandard2.0\MessagePack.Annotations.xml", "XML", 717, 0, 0, 0, 0, 0, 0, 0, 3, 720
"h:\C#\Projects\5e_App\Assets\Packages\MessagePackAnalyzer.3.1.4\MessagePackAnalyzer.nuspec", "XML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"h:\C#\Projects\5e_App\Assets\Packages\Microsoft.NET.StringTools.17.11.4\Microsoft.NET.StringTools.nuspec", "XML", 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"h:\C#\Projects\5e_App\Assets\Packages\Microsoft.NET.StringTools.17.11.4\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"h:\C#\Projects\5e_App\Assets\Packages\Microsoft.NET.StringTools.17.11.4\lib\netstandard2.0\Microsoft.NET.StringTools.xml", "XML", 545, 0, 0, 0, 0, 0, 0, 0, 2, 547
"h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 0, 0, 0, 47, 5, 21, 73
"h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\System.Collections.Immutable.nuspec", "XML", 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\buildTransitive\net461\System.Collections.Immutable.targets", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\buildTransitive\netcoreapp2.0\System.Collections.Immutable.targets", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"h:\C#\Projects\5e_App\Assets\Packages\System.Collections.Immutable.8.0.0\lib\netstandard2.0\System.Collections.Immutable.xml", "XML", 6049, 0, 0, 0, 0, 0, 0, 0, 51, 6100
"h:\C#\Projects\5e_App\Assets\Scripts\Characters\Ability.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 2, 4, 24
"h:\C#\Projects\5e_App\Assets\Scripts\Characters\AbilitySave.cs", "C#", 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"h:\C#\Projects\5e_App\Assets\Scripts\Characters\Character.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 3, 16, 37
"h:\C#\Projects\5e_App\Assets\Scripts\Characters\Hero.cs", "C#", 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"h:\C#\Projects\5e_App\Assets\Scripts\Characters\Skill.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"h:\C#\Projects\5e_App\Assets\Scripts\GoogleIntegrator\GoogleIntegrator.cs", "C#", 0, 0, 0, 0, 0, 374, 0, 143, 47, 564
"h:\C#\Projects\5e_App\Assets\Scripts\GoogleIntegrator\GoogleIntegratorController.cs", "C#", 0, 0, 0, 0, 0, 92, 0, 2, 16, 110
"h:\C#\Projects\5e_App\Assets\Scripts\GoogleIntegrator\GoogleSheetIntegrator.cs", "C#", 0, 0, 0, 0, 0, 183, 0, 54, 53, 290
"h:\C#\Projects\5e_App\Assets\Scripts\SaveLoad\TestSaveSystem.cs", "C#", 0, 0, 0, 0, 0, 36, 0, 0, 5, 41
"h:\C#\Projects\5e_App\Assets\Scripts\ScriptableObject\HeroClass.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"h:\C#\Projects\5e_App\Assets\Scripts\ScriptableObject\Race.cs", "C#", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"h:\C#\Projects\5e_App\Assets\Scripts\TestHero.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"h:\C#\Projects\5e_App\Assets\Scripts\UI\AbilityWindow_UI.cs", "C#", 0, 0, 0, 0, 0, 37, 0, 0, 9, 46
"h:\C#\Projects\5e_App\Assets\Scripts\UI\Basic_UI.cs", "C#", 0, 0, 0, 0, 0, 93, 0, 2, 10, 105
"h:\C#\Projects\5e_App\Assets\Scripts\UI\Hero_MainInfo_UI.cs", "C#", 0, 0, 0, 0, 0, 39, 0, 1, 5, 45
"h:\C#\Projects\5e_App\Assets\Scripts\UI\Saves_Skills_UI.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"h:\C#\Projects\5e_App\Assets\Scripts\UI\Test_UI.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 2, 5, 26
"h:\C#\Projects\5e_App\Assets\Scripts\UI\UI.cs", "C#", 0, 0, 0, 0, 0, 61, 0, 35, 10, 106
"h:\C#\Projects\5e_App\Assets\Scripts\UI\UI_Controller.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 9, 22
"h:\C#\Projects\5e_App\Assets\Scripts\misc\Enums.cs", "C#", 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"h:\C#\Projects\5e_App\Assets\Scripts\misc\Singleton.cs", "C#", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 0, 0, 0, 130, 0, 0, 0, 18, 31, 179
