Date : 2026-05-27 13:54:18
Directory : h:\C#\Projects\5e_App
Total : 67 files,  36142 codes, 755 comments, 5458 blanks, all 42355 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| Ini         |          1 |     13,255 |        274 |      3,451 |     16,980 |
| XML         |         13 |     13,136 |         30 |        129 |     13,295 |
| HTML        |          3 |      4,782 |         84 |        840 |      5,706 |
| UnityShader |         19 |      2,860 |        111 |        756 |      3,727 |
| C#          |         23 |      1,251 |        251 |        253 |      1,755 |
| JSON        |          6 |        808 |          0 |          5 |        813 |
| Markdown    |          2 |         50 |          5 |         24 |         79 |
+-------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |         67 |     36,142 |        755 |      5,458 |     42,355 |
| . (Files)                                                                                                                                   |          1 |          4 |          0 |          1 |          5 |
| Assets                                                                                                                                      |         57 |     16,924 |        367 |      1,101 |     18,392 |
| Assets\FolderColor                                                                                                                          |          3 |        157 |          7 |         36 |        200 |
| Assets\FolderColor\Editor                                                                                                                   |          2 |        156 |          7 |         36 |        199 |
| Assets\FolderColor\SaveSetUp                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| Assets\Packages                                                                                                                             |         13 |     12,657 |          5 |         90 |     12,752 |
| Assets\Packages\MessagePack.3.1.4                                                                                                           |          2 |      5,182 |          0 |          7 |      5,189 |
| Assets\Packages\MessagePack.3.1.4 (Files)                                                                                                   |          1 |         56 |          0 |          0 |         56 |
| Assets\Packages\MessagePack.3.1.4\lib                                                                                                       |          1 |      5,126 |          0 |          7 |      5,133 |
| Assets\Packages\MessagePack.3.1.4\lib\netstandard2.1                                                                                        |          1 |      5,126 |          0 |          7 |      5,133 |
| Assets\Packages\MessagePack.Annotations.3.1.4                                                                                               |          2 |        736 |          0 |          3 |        739 |
| Assets\Packages\MessagePack.Annotations.3.1.4 (Files)                                                                                       |          1 |         19 |          0 |          0 |         19 |
| Assets\Packages\MessagePack.Annotations.3.1.4\lib                                                                                           |          1 |        717 |          0 |          3 |        720 |
| Assets\Packages\MessagePack.Annotations.3.1.4\lib\netstandard2.0                                                                            |          1 |        717 |          0 |          3 |        720 |
| Assets\Packages\MessagePackAnalyzer.3.1.4                                                                                                   |          1 |         17 |          0 |          0 |         17 |
| Assets\Packages\Microsoft.NET.StringTools.17.11.4                                                                                           |          3 |        580 |          0 |          5 |        585 |
| Assets\Packages\Microsoft.NET.StringTools.17.11.4 (Files)                                                                                   |          2 |         35 |          0 |          3 |         38 |
| Assets\Packages\Microsoft.NET.StringTools.17.11.4\lib                                                                                       |          1 |        545 |          0 |          2 |        547 |
| Assets\Packages\Microsoft.NET.StringTools.17.11.4\lib\netstandard2.0                                                                        |          1 |        545 |          0 |          2 |        547 |
| Assets\Packages\System.Collections.Immutable.8.0.0                                                                                          |          5 |      6,142 |          5 |         75 |      6,222 |
| Assets\Packages\System.Collections.Immutable.8.0.0 (Files)                                                                                  |          2 |         81 |          5 |         22 |        108 |
| Assets\Packages\System.Collections.Immutable.8.0.0\buildTransitive                                                                          |          2 |         12 |          0 |          2 |         14 |
| Assets\Packages\System.Collections.Immutable.8.0.0\buildTransitive\net461                                                                   |          1 |          6 |          0 |          1 |          7 |
| Assets\Packages\System.Collections.Immutable.8.0.0\buildTransitive\netcoreapp2.0                                                            |          1 |          6 |          0 |          1 |          7 |
| Assets\Packages\System.Collections.Immutable.8.0.0\lib                                                                                      |          1 |      6,049 |          0 |         51 |      6,100 |
| Assets\Packages\System.Collections.Immutable.8.0.0\lib\netstandard2.0                                                                       |          1 |      6,049 |          0 |         51 |      6,100 |
| Assets\Scripts                                                                                                                              |         21 |      1,095 |        244 |        217 |      1,556 |
| Assets\Scripts (Files)                                                                                                                      |          1 |         13 |          0 |          3 |         16 |
| Assets\Scripts\Characters                                                                                                                   |          5 |         90 |          5 |         32 |        127 |
| Assets\Scripts\GoogleIntegrator                                                                                                             |          3 |        649 |        199 |        116 |        964 |
| Assets\Scripts\SaveLoad                                                                                                                     |          1 |         36 |          0 |          5 |         41 |
| Assets\Scripts\ScriptableObject                                                                                                             |          2 |         12 |          0 |          4 |         16 |
| Assets\Scripts\UI                                                                                                                           |          7 |        276 |         40 |         53 |        369 |
| Assets\Scripts\misc                                                                                                                         |          2 |         19 |          0 |          4 |         23 |
| Assets\TextMesh Pro                                                                                                                         |         20 |      3,015 |        111 |        758 |      3,884 |
| Assets\TextMesh Pro\Shaders                                                                                                                 |         19 |      2,860 |        111 |        756 |      3,727 |
| Assets\TextMesh Pro\Sprites                                                                                                                 |          1 |        155 |          0 |          2 |        157 |
| Packages                                                                                                                                    |          2 |        650 |          0 |          2 |        652 |
| WindowsBuild                                                                                                                                |          7 |     18,564 |        388 |      4,354 |     23,306 |
| WindowsBuild\5e_App_Data                                                                                                                    |          2 |          2 |          0 |          1 |          3 |
| WindowsBuild\MonoBleedingEdge                                                                                                               |          5 |     18,562 |        388 |      4,353 |     23,303 |
| WindowsBuild\MonoBleedingEdge\etc                                                                                                           |          5 |     18,562 |        388 |      4,353 |     23,303 |
| WindowsBuild\MonoBleedingEdge\etc\mono                                                                                                      |          5 |     18,562 |        388 |      4,353 |     23,303 |
| WindowsBuild\MonoBleedingEdge\etc\mono (Files)                                                                                              |          1 |     13,255 |        274 |      3,451 |     16,980 |
| WindowsBuild\MonoBleedingEdge\etc\mono\2.0                                                                                                  |          1 |      1,594 |         28 |        280 |      1,902 |
| WindowsBuild\MonoBleedingEdge\etc\mono\4.0                                                                                                  |          1 |      1,594 |         28 |        280 |      1,902 |
| WindowsBuild\MonoBleedingEdge\etc\mono\4.5                                                                                                  |          1 |      1,594 |         28 |        280 |      1,902 |
| WindowsBuild\MonoBleedingEdge\etc\mono\mconfig                                                                                              |          1 |        525 |         30 |         62 |        617 |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
